"id";"library_id";"current_version";"description";"repository";"homepage";"created_at";"updated_at"
109;109;"1.5.1";"A very smart filemanager to manage your files in the browser.";"git+https://github.com/joni2back/angular-filemanager.git";"http://angular-filemanager.zendelsolutions.com/";"2019-02-07 15:14:07";"2019-02-07 15:14:07"
110;110;"0.5.17";"Bunch of useful filters for angularJS(with no external dependencies!)";"https://github.com/a8m/angular-filter.git";;"2019-02-07 15:14:08";"2019-02-07 15:14:08"
111;265;"3.13.2";"An UI design language";"https://github.com/ant-design/ant-design";"http://ant.design/";"2019-02-07 15:14:08";"2019-02-07 15:14:08"
112;111;"0.13.4";"A fontselect directive for AngularJS";"https://github.com/Jimdo/angular-fontselect.git";;"2019-02-07 15:14:09";"2019-02-07 15:14:09"
113;112;"0.14.3";"Material design templates for angular-formly";"git+https://github.com/formly-js/angular-formly-templates-material.git";;"2019-02-07 15:14:09";"2019-02-07 15:14:09"
114;113;"6.5.1";"Angular-Formly plugin which outputs bootstrap compatible form fields.";"git://github.com/formly-js/angular-formly-templates-bootstrap.git";"http://formly-js.github.io/angular-formly-templates-bootstrap/";"2019-02-07 15:14:10";"2019-02-07 15:14:10"
115;114;"8.4.1";"AngularJS directive which takes JSON representing a form and renders to HTML";"https://github.com/formly-js/angular-formly.git";"http://formly-js.github.io/angular-formly/#!/";"2019-02-07 15:14:10";"2019-02-07 15:14:10"
116;115;"0.11.22";"This project is a port of the AngularUI team's excellent angular-bootstrap project for use in the Foundation framework.";"git://github.com/circlingthesun/angular-foundation-6.git";"https://circlingthesun.github.io/angular-foundation-6/";"2019-02-07 15:14:11";"2019-02-07 15:14:11"
117;116;"0.8.0";"Angular components for Foundation";"git://github.com/pineconellc/angular-foundation.git";"http://pineconellc.github.io/angular-foundation/";"2019-02-07 15:14:11";"2019-02-07 15:14:11"
118;117;"1.3.3";"Gantt chart component for AngularJS";"https://github.com/angular-gantt/angular-gantt.git";"http://www.angular-gantt.com";"2019-02-07 15:14:12";"2019-02-07 15:14:12"
119;118;"2.4.1";"Gettext support for Angular.js";"git://github.com/rubenv/angular-gettext.git";"http://angular-gettext.rocketeer.be/";"2019-02-07 15:14:12";"2019-02-07 15:14:12"
120;119;"1.1.9";"Angular Google Analytics - Easy tracking for your AngularJS application";"git://github.com/revolunet/angular-google-analytics.git";;"2019-02-07 15:14:13";"2019-02-07 15:14:13"
121;120;"0.1.0";"Google Chart Tools AngularJS Directive Module";"https://github.com/angular-google-chart/angular-google-chart.git";;"2019-02-07 15:14:13";"2019-02-07 15:14:13"
122;121;"2.4.1";"AngularJS directives for Google Maps";"https://github.com/angular-ui/angular-google-maps.git";;"2019-02-07 15:14:14";"2019-02-07 15:14:14"
123;122;"0.4.2";"Angular.JS directive for gravatar images";"https://github.com/wallin/angular-gravatar";;"2019-02-07 15:14:14";"2019-02-07 15:14:14"
124;123;"0.13.15";"An implementation of gridster-like widgets for Angular JS. This directive gives you gridster behavior";"git+https://github.com/ManifestWebDesign/angular-gridster.git";"https://manifestwebdesign.github.io/angular-gridster";"2019-02-07 15:14:15";"2019-02-07 15:14:15"
167;165;"0.0.14";"AngularJS provider and service for Pusher";"https://github.com/doowb/angular-pusher.git";"http://angular-pusher-example.herokuapp.com/";"2019-02-07 15:14:41";"2019-02-07 15:14:41"
125;124;"0.7.9";"growl like notifications for angularJS projects, using bootstrap alert classes";"https://github.com/JanStevens/angular-growl-2.git";"https://janstevens.github.io/angular-growl-2/";"2019-02-07 15:14:15";"2019-02-07 15:14:15"
126;125;"0.4.0";"growl like notifications for angularJS projects, using bootstrap alert classes";"https://github.com/marcorinck/angular-growl.git";;"2019-02-07 15:14:16";"2019-02-07 15:14:16"
127;126;"2.3.0";"Hal client for angularjs";"https://github.com/LuvDaSun/angular-hal.git";"http://angular-hal.io";"2019-02-07 15:14:17";"2019-02-07 15:14:17"
128;127;"0.7.1";"AngularJS directive for syntax highlighting with highlight.js";"https://github.com/pc035860/angular-highlightjs.git";"http://pc035860.github.io/angular-highlightjs/example/";"2019-02-07 15:14:17";"2019-02-07 15:14:17"
129;128;"1.7.0";"Automatic keyboard shortcuts for your Angular Apps";"git://github.com/chieffancypants/angular-hotkeys.git";"https://chieffancypants.github.io/angular-hotkeys";"2019-02-07 15:14:18";"2019-02-07 15:14:18"
130;129;"1.5.0";"HTTP Auth Interceptor Module for AngularJS.";"git://github.com/witoldsz/angular-http-auth.git";;"2019-02-07 15:14:18";"2019-02-07 15:14:18"
131;130;"1.7.7";"Locales for AngularJS";"git://github.com/angular/angular.js.git";"http://angularjs.org";"2019-02-07 15:14:22";"2019-02-07 15:14:22"
132;131;"0.1.5";"Angular directive for showing spinner in the container with image.";"git://github.com/oivoodoo/angular-image-spinner.git";;"2019-02-07 15:14:23";"2019-02-07 15:14:23"
133;132;"1.1.0";"Client side image cropper directive for AngularJS (rectangular area, aspect ratio, multi-touch)";"git://github.com/AllanBishop/angular-img-cropper.git";;"2019-02-07 15:14:24";"2019-02-07 15:14:24"
134;133;"0.1.0";"Simple imgcache.js wrapper for AngularJS, can be used with Ionic/Cordova/Phonegap.";"https://github.com/jBenes/angular-imgcache.js.git";;"2019-02-07 15:14:24";"2019-02-07 15:14:24"
135;134;"4.3.0";"Personalized input masks for AngularJS";"https://github.com/assisrafael/angular-input-masks.git";;"2019-02-07 15:14:25";"2019-02-07 15:14:25"
136;135;"3.0.0";"AngularJS directive to check if a DOM element is in the browser viewport.";"git+https://github.com/thenikso/angular-inview.git";;"2019-02-07 15:14:25";"2019-02-07 15:14:25"
137;136;"2.5.1";"Date-time picker AngularJS Bootstrap plugin";"git+https://github.com/zhaber/angular-js-bootstrap-datetimepicker.git";;"2019-02-07 15:14:26";"2019-02-07 15:14:26"
138;137;"0.4.3";"An angular directive wrapper for Ladda.";"https://github.com/remotty/angular-ladda.git";;"2019-02-07 15:14:26";"2019-02-07 15:14:26"
139;138;"0.10.0";"angular-leaflet-directive - An AngularJS directive to easily interact with Leaflet maps";"https://github.com/tombatossals/angular-leaflet-directive";"http://tombatossals.github.io/angular-leaflet-directive/";"2019-02-07 15:14:27";"2019-02-07 15:14:27"
140;139;"2.0.0";"Angular filter to linkify urls, ""@"" usernames, and hashtags.";"https://github.com/scottcorgan/angular-linkify.git";;"2019-02-07 15:14:27";"2019-02-07 15:14:27"
141;140;"0.9.0";"An automatic loading bar for AngularJS";"git://github.com/chieffancypants/angular-loading-bar.git";"https://chieffancypants.github.io/angular-loading-bar";"2019-02-07 15:14:28";"2019-02-07 15:14:28"
142;141;"0.7.1";"An Angular module that gives you access to the browsers local storage";"https://github.com/grevory/angular-local-storage.git";;"2019-02-07 15:14:28";"2019-02-07 15:14:28"
